participant_id,well_being,intensity,companionship_prim,companionship_desc,companionship_chat,self_disclosure,social_network_scale,tenure_of_activity,donated,male,non_binary,age,single
p_886,5.666666667,0.37444204,1,0,,1.298574404,-0.369747453,0.896313241,0,0,0,45,0
p_1019,4.833333333,1.158791915,0,0,,0.506862912,-0.875529854,0.896313241,0,1,0,20,0
p_52,4.0,-0.463603393,0,1,,0.506862912,0.136034949,-0.462574528,0,0,0,21,1
p_433,5.5,-0.808142583,0,0,-0.294372985,0.054456346,2.159164557,0.896313241,1,1,0,18,1
p_1124,6.333333333,-1.789577024,0,0,,0.846167837,0.641817351,-0.462574528,0,0,0,37,1
p_997,6.666666667,0.632690616,0,1,,0.054456346,0.136034949,0.896313241,0,1,0,22,1
p_324,4.666666667,-0.274986255,0,0,,-1.302763353,0.136034949,0.896313241,0,0,0,27,0
p_559,3.666666667,-1.066901779,0,0,,-0.39795022,1.147599753,0.896313241,0,0,0,22,0
p_448,2.666666667,0.156980644,0,1,,0.393761271,0.136034949,0.896313241,0,1,0,27,0
p_597,5.0,1.50422462,0,1,-0.71320007,1.298574404,-0.369747453,0.896313241,1,1,0,41,1
p_524,6.0,-1.784646089,0,1,,-2.433779769,2.664946959,-0.462574528,0,1,0,22,1
p_329,3.333333333,0.315598115,0,0,,0.733066196,-0.369747453,-1.821462297,0,1,0,42,0
p_320,5.333333333,1.267808479,0,0,,1.411676045,0.641817351,-1.821462297,0,1,0,23,1
p_399,4.333333333,-0.468874685,0,1,,-0.624153504,-0.875529854,0.896313241,0,1,0,27,1
p_630,2.833333333,-2.089049032,0,0,1.439010739,-2.773084694,-1.381312256,0.896313241,1,0,0,22,1
p_343,4.5,0.284227371,0,1,1.439010739,-0.171746937,1.653382155,0.896313241,1,1,0,22,0
p_245,4.0,0.883957525,0,0,,-1.868271561,-1.381312256,0.896313241,0,0,0,24,0
p_683,6.0,0.589019067,0,0,,-0.284848579,-0.369747453,-0.462574528,0,1,0,28,1
p_733,6.0,0.098110211,1,0,,0.733066196,0.136034949,-0.462574528,0,0,0,40,0
p_129,5.0,-0.198011281,0,1,,-0.171746937,0.136034949,-0.462574528,0,0,0,28,1
p_299,5.333333333,0.225808628,0,0,,-0.624153504,-0.875529854,0.896313241,0,0,0,33,0
